acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-9132,3576,-7432,-1275,-515,3330,2025-01-27 14:12:33,0.0
-9000,1760,-5672,-2011,1094,2659,2025-01-27 14:12:33,0.0
-9736,364,-3736,-1869,1952,2256,2025-01-27 14:12:33,0.0
-10432,328,-3376,-1260,1481,2461,2025-01-27 14:12:33,0.0
-10520,972,-3700,-966,524,2637,2025-01-27 14:12:33,0.0
-9800,2020,-3572,-671,-85,2482,2025-01-27 14:12:33,0.0
-9112,2664,-3564,-463,-182,1406,2025-01-27 14:12:33,0.0
-9348,2188,-3464,-388,75,112,2025-01-27 14:12:33,0.0
-9988,1380,-2860,-87,52,-657,2025-01-27 14:12:33,0.0
-10060,1132,-2620,252,-932,-1554,2025-01-27 14:12:33,0.0
-10132,752,-1996,220,-2372,-2390,2025-01-27 14:12:33,0.0
-9984,864,-1436,352,-4141,-3089,2025-01-27 14:12:33,0.0
-9716,1020,-2100,663,-4138,-3160,2025-01-27 14:12:33,0.0
-8996,660,-2692,908,-3530,-3116,2025-01-27 14:12:33,0.0
-8688,240,-1744,1551,-2657,-3199,2025-01-27 14:12:33,0.0
-8300,140,-1424,2080,-2147,-3282,2025-01-27 14:12:33,0.0
-7224,1128,-1352,2307,-2272,-3377,2025-01-27 14:12:33,0.0
-6988,1552,-2804,2282,-1825,-3442,2025-01-27 14:12:33,0.0
-7908,696,-4264,1443,732,-3743,2025-01-27 14:12:33,0.0
-9536,548,-2876,1361,3190,-4189,2025-01-27 14:12:33,0.0
-11236,380,-2616,2356,4047,-4744,2025-01-27 14:12:33,0.0
-13160,488,-3668,3330,3006,-5150,2025-01-27 14:12:33,0.0
-14816,628,-3896,3366,973,-4993,2025-01-27 14:12:33,0.0
-15932,608,-3324,3138,-1120,-3786,2025-01-27 14:12:33,0.0
-14656,1196,-2672,3028,-2222,-1954,2025-01-27 14:12:33,0.0
-11792,1596,-2952,2558,-2251,-1426,2025-01-27 14:12:33,0.0
-9644,1548,-2740,1541,-865,-1739,2025-01-27 14:12:33,0.0
-10404,1608,-1816,785,453,-3029,2025-01-27 14:12:33,0.0
-12244,2316,-3320,372,1787,-4293,2025-01-27 14:12:33,0.0
-14300,3348,-6168,814,3219,-4292,2025-01-27 14:12:33,0.0
-15488,2824,-13660,175,4181,-2971,2025-01-27 14:12:33,0.0
-16144,-492,-15996,-2245,6252,-1937,2025-01-27 14:12:33,0.0
-16940,-4312,-11632,-3606,8474,-2099,2025-01-27 14:12:33,0.0
-19208,-7232,-7752,-2695,7227,-2847,2025-01-27 14:12:33,0.0
-20356,-7596,-7024,-533,905,-2109,2025-01-27 14:12:33,0.0
-17712,-5652,-6284,1001,-2907,-250,2025-01-27 14:12:33,0.0
-14212,-2972,-8196,2288,-2238,629,2025-01-27 14:12:33,0.0
-13288,-1736,-11524,1920,1775,707,2025-01-27 14:12:33,0.0
-14888,-1348,-10036,1014,4974,-461,2025-01-27 14:12:33,0.0
-16968,-2308,-5004,734,3603,-1897,2025-01-27 14:12:33,0.0
-19140,-3536,-1996,1590,-142,-1934,2025-01-27 14:12:33,0.0
-17304,-3784,-3356,2595,-2627,-967,2025-01-27 14:12:33,0.0
-13380,-4228,-5164,2925,-3396,-548,2025-01-27 14:12:33,0.0
-9584,-4964,-6224,3425,-2398,-986,2025-01-27 14:12:33,0.0
-7836,-4376,-7388,3376,-588,-1393,2025-01-27 14:12:33,0.0
-7980,-2552,-6332,2827,1422,-1547,2025-01-27 14:12:33,0.0
-8116,-752,-5292,2065,2831,-1546,2025-01-27 14:12:34,0.0
-9316,-276,-4496,1128,3686,-1201,2025-01-27 14:12:34,0.0
-10012,-1080,-4204,240,3910,-889,2025-01-27 14:12:34,0.0
-11168,-2388,-4452,-226,3322,-536,2025-01-27 14:12:34,0.0
-11724,-3460,-4684,-291,2464,152,2025-01-27 14:12:34,0.0
-11660,-4040,-4756,-179,1916,1067,2025-01-27 14:12:34,0.0
-10988,-4188,-4316,-161,1188,1594,2025-01-27 14:12:34,0.0
-11036,-3412,-3912,-168,329,1694,2025-01-27 14:12:34,0.0
-11000,-2332,-3348,-158,-268,1875,2025-01-27 14:12:34,0.0
-9132,-1396,-3216,-1732,-978,3027,2025-01-27 14:12:34,0.0
-8424,-1856,-3168,-2180,-757,2860,2025-01-27 14:12:34,0.0
-8380,-1772,-3332,-2353,-313,2634,2025-01-27 14:12:34,0.0
-8944,-1860,-3748,-2732,969,2617,2025-01-27 14:12:34,0.0
-10500,-2320,-4476,-3335,2328,2873,2025-01-27 14:12:34,0.0
-12288,-2396,-4976,-3936,2358,3417,2025-01-27 14:12:34,0.0
-12964,-2184,-4708,-4054,1110,3395,2025-01-27 14:12:34,0.0
-12712,-1708,-4380,-3800,-1150,2874,2025-01-27 14:12:34,0.0
-11772,-2256,-3912,-3546,-2366,2045,2025-01-27 14:12:34,0.0
-10584,-3016,-3624,-2901,-2095,1517,2025-01-27 14:12:34,0.0
-9908,-3736,-3712,-2365,-1240,765,2025-01-27 14:12:34,0.0
-10800,-3388,-2552,-1972,313,101,2025-01-27 14:12:34,0.0
-12488,-2564,-1824,-1857,665,163,2025-01-27 14:12:34,0.0
-13656,-2468,-2700,-1824,101,498,2025-01-27 14:12:34,0.0
-13360,-2012,-6352,-1435,-418,458,2025-01-27 14:12:34,0.0
-14384,-1196,-8232,-980,1178,146,2025-01-27 14:12:34,0.0
-14600,-2364,-10028,585,2689,1,2025-01-27 14:12:34,0.0
-16240,-2684,-11456,2249,2261,-247,2025-01-27 14:12:34,0.0
-18000,-1308,-10972,3362,1540,-316,2025-01-27 14:12:34,0.0
-19276,776,-8624,1258,66,866,2025-01-27 14:12:34,0.0
-17496,2252,-5788,-430,-333,2686,2025-01-27 14:12:34,0.0
-14404,3456,-8744,78,245,2974,2025-01-27 14:12:34,0.0
-13624,3516,-14888,-65,3420,1252,2025-01-27 14:12:34,0.0
-15512,1848,-10256,-582,7257,-2684,2025-01-27 14:12:34,0.0
-21696,1648,-6816,-340,3536,-3197,2025-01-27 14:12:34,0.0
-24096,2204,-6672,-1080,-1845,1331,2025-01-27 14:12:34,0.0
-19680,1272,-5816,-1519,-4603,3584,2025-01-27 14:12:34,0.0
-14428,936,-5920,-1161,-5202,3442,2025-01-27 14:12:34,0.0
-11216,1256,-6268,-1271,-4046,2796,2025-01-27 14:12:34,0.0
-8756,1944,-6404,-1576,-2820,2388,2025-01-27 14:12:34,0.0
-7440,2012,-5972,-1699,-1431,2009,2025-01-27 14:12:34,0.0
-7700,1792,-5064,-1749,273,1817,2025-01-27 14:12:34,0.0
-7872,1616,-3956,-1535,1748,1575,2025-01-27 14:12:34,0.0
-8512,1252,-3336,-1138,2554,1167,2025-01-27 14:12:34,0.0
-9568,1032,-2952,-678,2544,549,2025-01-27 14:12:34,0.0
-9916,640,-2920,-111,1588,-443,2025-01-27 14:12:34,0.0
-9852,804,-2812,279,62,-1235,2025-01-27 14:12:34,0.0
-9868,928,-2620,490,-629,-1495,2025-01-27 14:12:34,0.0
-9512,928,-2540,796,-735,-1334,2025-01-27 14:12:34,0.0
-8092,268,-3748,1030,-1125,-1321,2025-01-27 14:12:34,0.0
-9260,168,-2696,818,-1983,-1642,2025-01-27 14:12:34,0.0
-9468,-140,-2620,590,-2163,-1980,2025-01-27 14:12:34,0.0
-10432,456,-1540,769,-2035,-2399,2025-01-27 14:12:34,0.0
-9880,1748,-2168,1258,-2262,-3081,2025-01-27 14:12:34,0.0
-9240,2884,-2572,1467,-2773,-3275,2025-01-27 14:12:34,
-7732,3180,-3204,1615,-2881,-3236,2025-01-27 14:12:34,0.0
-6140,2156,-5144,866,-1798,-3857,2025-01-27 14:12:34,0.0
-6528,784,-6176,-21,1496,-4341,2025-01-27 14:12:34,0.0
-7928,-724,-5084,-322,4944,-4321,2025-01-27 14:12:34,0.0
-10448,-1176,-2940,284,5279,-4376,2025-01-27 14:12:34,0.0
-13608,-184,-2172,776,3842,-4414,2025-01-27 14:12:34,0.0
-16448,1060,-2792,1284,884,-4047,2025-01-27 14:12:34,0.0
-17220,1484,-4140,2069,-3143,-2490,2025-01-27 14:12:34,0.0
-13784,652,-4604,2570,-5270,-1394,2025-01-27 14:12:34,0.0
-10868,0,-3908,2447,-5422,-1607,2025-01-27 14:12:34,0.0
-11552,952,-1292,2319,-3320,-2224,2025-01-27 14:12:34,0.0
-12888,2744,-3724,1839,-2002,-1958,2025-01-27 14:12:34,0.0
-15812,3108,-5208,1355,-615,-573,2025-01-27 14:12:34,0.0
-15500,1972,-9792,1318,714,821,2025-01-27 14:12:35,0.0
-16512,1000,-14592,-770,1719,1978,2025-01-27 14:12:35,0.0
-15984,-1524,-12380,-2333,5029,2407,2025-01-27 14:12:35,0.0
-14940,-4072,-8992,-2191,5284,703,2025-01-27 14:12:35,0.0
-16580,-6124,-8068,-960,2437,-1073,2025-01-27 14:12:35,0.0
-18816,-7268,-9364,-44,680,-1065,2025-01-27 14:12:35,0.0
-19264,-6504,-8864,518,630,387,2025-01-27 14:12:35,0.0
-16932,-2724,-6236,1808,293,495,2025-01-27 14:12:35,0.0
-16440,-160,-6032,2358,470,-523,2025-01-27 14:12:35,0.0
-16336,1184,-6396,2110,678,-1324,2025-01-27 14:12:35,0.0
-16312,16,-6296,1356,65,-1822,2025-01-27 14:12:35,0.0
-15192,-1984,-5872,906,-770,-2277,2025-01-27 14:12:35,0.0
-13816,-4016,-6528,663,-1200,-2702,2025-01-27 14:12:35,0.0
-12992,-4496,-6800,632,-1246,-2892,2025-01-27 14:12:35,0.0
-11440,-3508,-6336,1026,-887,-2593,2025-01-27 14:12:35,0.0
-9640,-2388,-5772,1193,-506,-2238,2025-01-27 14:12:35,0.0
-8924,-1336,-4952,674,839,-2038,2025-01-27 14:12:35,0.0
-8236,-968,-4768,61,1903,-1710,2025-01-27 14:12:35,0.0
-8264,-1580,-4588,-483,2492,-1368,2025-01-27 14:12:35,0.0
-8624,-2992,-4080,-810,3010,-1137,2025-01-27 14:12:35,0.0
-9936,-4300,-4320,-871,3242,-226,2025-01-27 14:12:35,0.0
-10628,-4220,-4928,-894,2978,624,2025-01-27 14:12:35,0.0
-11328,-3580,-4624,-1136,1999,1367,2025-01-27 14:12:35,0.0
-11012,-2828,-3764,-1127,534,1881,2025-01-27 14:12:35,0.0
-10596,-2604,-2868,-1222,-1037,2007,2025-01-27 14:12:35,0.0
-9192,-1696,-1960,-998,-2688,2180,2025-01-27 14:12:35,0.0
-7828,-1024,-2568,-867,-3183,2432,2025-01-27 14:12:35,0.0
-7316,-468,-4604,-1555,-2134,2841,2025-01-27 14:12:35,0.0
-7292,168,-5844,-2764,511,3517,2025-01-27 14:12:35,0.0
-9604,628,-4008,-4034,3489,4885,2025-01-27 14:12:35,0.0
-10200,-516,-1320,-4851,2660,5293,2025-01-27 14:12:35,0.0
-9352,-2072,436,-3945,-49,3763,2025-01-27 14:12:35,0.0
-9256,-1804,-1424,-1882,-2017,1298,2025-01-27 14:12:35,0.0
-10548,-904,-4328,-1854,-1321,587,2025-01-27 14:12:35,0.0
-10816,-1460,-4724,-2032,566,951,2025-01-27 14:12:35,0.0
-11832,-2824,-5380,-2389,2460,798,2025-01-27 14:12:35,0.0
-13836,-3180,-2784,-2788,3235,859,2025-01-27 14:12:35,0.0
-15492,-3676,-244,-1842,2072,1268,2025-01-27 14:12:35,0.0
-16224,-4188,-1420,-1028,-622,1823,2025-01-27 14:12:35,0.0
-14128,-3820,-3232,-249,-3701,1746,2025-01-27 14:12:35,0.0
-12540,-3040,-5128,733,-3774,1038,2025-01-27 14:12:35,0.0
-12460,-1772,-7200,1208,-883,-63,2025-01-27 14:12:35,0.0
-14164,-2024,-7448,1724,1267,-325,2025-01-27 14:12:35,0.0
-15460,-1656,-11220,2645,1657,-767,2025-01-27 14:12:35,0.0
-17980,796,-11480,2385,-417,-474,2025-01-27 14:12:35,0.0
-19212,3612,-9344,1216,-3002,1119,2025-01-27 14:12:35,0.0
-17008,2560,-9464,-1048,-3157,2285,2025-01-27 14:12:35,0.0
-14636,2376,-11904,-722,-1246,1116,2025-01-27 14:12:35,0.0
-13044,1916,-10908,-130,3542,-2550,2025-01-27 14:12:35,0.0
-15940,-1108,-7468,-583,4995,-4909,2025-01-27 14:12:35,0.0
-19468,-1220,-7216,-923,3219,-3047,2025-01-27 14:12:35,0.0
-21140,520,-7528,-1997,768,1935,2025-01-27 14:12:35,0.0
-19036,1012,-6052,-2319,-137,3143,2025-01-27 14:12:35,0.0
-16900,2056,-6040,-2007,-2320,3185,2025-01-27 14:12:35,0.0
-14376,2732,-6324,-1872,-3883,3581,2025-01-27 14:12:35,0.0
-11020,2152,-6396,-1863,-4045,3379,2025-01-27 14:12:35,0.0
-8444,1284,-6000,-2002,-2867,2478,2025-01-27 14:12:35,0.0
-7584,696,-5204,-1758,-1310,1555,2025-01-27 14:12:35,0.0
-8364,688,-4124,-1069,520,1654,2025-01-27 14:12:35,0.0
-7812,504,-3748,-472,2066,1990,2025-01-27 14:12:35,0.0
-7604,256,-3216,-19,3223,1475,2025-01-27 14:12:35,0.0
-8092,416,-2608,72,3550,407,2025-01-27 14:12:36,0.0
-9336,720,-2672,448,2906,-783,2025-01-27 14:12:36,0.0
-9844,1252,-3020,988,1941,-1339,2025-01-27 14:12:36,0.0
-9884,1496,-3276,1495,886,-2005,2025-01-27 14:12:36,0.0
-9752,1224,-3484,1665,95,-2561,2025-01-27 14:12:36,0.0
-9184,672,-3320,1666,-253,-3116,2025-01-27 14:12:36,0.0
-7836,60,-4288,1437,-655,-4018,2025-01-27 14:12:36,0.0
-9088,-128,-2356,1367,-1185,-4831,2025-01-27 14:12:36,0.0
-10828,104,-960,1686,-2815,-5106,2025-01-27 14:12:36,0.0
-11512,892,-1188,2085,-4583,-4517,2025-01-27 14:12:36,0.0
-10680,2028,-1392,2294,-5565,-3745,2025-01-27 14:12:36,0.0
-8988,1800,-2296,2008,-4925,-3319,2025-01-27 14:12:36,0.0
-7140,1028,-3396,1390,-2825,-3354,2025-01-27 14:12:36,0.0
-7288,52,-4912,366,800,-3463,2025-01-27 14:12:36,0.0
-9336,-824,-3256,-300,4261,-2753,2025-01-27 14:12:36,0.0
-11508,-1020,-1192,175,5564,-2155,2025-01-27 14:12:36,0.0
-14316,40,-1800,1059,3870,-1722,2025-01-27 14:12:36,0.0
-15748,424,-2892,955,768,-1451,2025-01-27 14:12:36,0.0
-15824,636,-2288,1043,-1870,-1540,2025-01-27 14:12:36,0.0
-14964,1760,-3316,1181,-3468,-1599,2025-01-27 14:12:36,0.0
-13608,2496,-4916,836,-3856,-1860,2025-01-27 14:12:36,0.0
-12756,2468,-6536,-50,-3887,-1626,2025-01-27 14:12:36,0.0
-12480,1004,-7388,-544,-1440,-1630,2025-01-27 14:12:36,0.0
-13488,704,-8220,-1102,1049,-1873,2025-01-27 14:12:36,0.0
-15096,-72,-10844,-2345,3464,-2184,2025-01-27 14:12:36,0.0
-16624,-1460,-11896,-3207,3489,-2045,2025-01-27 14:12:36,
-18548,-3156,-9616,-3780,1663,-350,2025-01-27 14:12:36,0.0
-18112,-5744,-5332,-3376,1307,1366,2025-01-27 14:12:36,0.0
-16656,-6752,-5004,-2019,1239,998,2025-01-27 14:12:36,0.0
-18408,-5224,-7508,-1047,2043,451,2025-01-27 14:12:36,0.0
-19960,-2172,-7068,565,3640,1146,2025-01-27 14:12:36,0.0
-18468,-664,-6784,798,1367,518,2025-01-27 14:12:36,0.0
-17740,-844,-6452,765,-2473,-975,2025-01-27 14:12:36,0.0
-17252,-1752,-6064,787,-3482,-1550,2025-01-27 14:12:36,0.0
-15712,-3432,-5636,1008,-3044,-1535,2025-01-27 14:12:36,0.0
-13592,-4900,-4932,1454,-2350,-1071,2025-01-27 14:12:36,0.0
-11736,-5184,-5504,1874,-1640,-858,2025-01-27 14:12:36,0.0
-10732,-4324,-6092,2534,-362,-1332,2025-01-27 14:12:36,0.0
-9428,-2240,-7732,2642,918,-1251,2025-01-27 14:12:36,0.0
-9312,-340,-7344,1952,2117,-951,2025-01-27 14:12:36,0.0
-8940,460,-6104,989,3034,-887,2025-01-27 14:12:36,0.0
-9536,-4,-5224,-60,3506,-1071,2025-01-27 14:12:36,0.0
-10612,-1400,-4876,-567,3004,-1004,2025-01-27 14:12:36,0.0
-11108,-2732,-4632,-835,2281,-608,2025-01-27 14:12:36,0.0
-10632,-3764,-4408,-877,1483,-206,2025-01-27 14:12:36,0.0
-9172,-3688,-4704,-631,568,-17,2025-01-27 14:12:36,0.0
-7768,-3144,-5356,-549,13,85,2025-01-27 14:12:36,0.0
-7616,-2312,-4272,-775,337,77,2025-01-27 14:12:36,0.0
-7492,-1624,-3444,-1136,375,-119,2025-01-27 14:12:36,0.0
-9112,-528,-1864,-1447,244,218,2025-01-27 14:12:36,0.0
-10972,-268,-2132,-1926,600,1422,2025-01-27 14:12:36,0.0
-12172,-356,-3864,-2784,922,3130,2025-01-27 14:12:36,0.0
-11520,-1244,-4632,-3874,838,4516,2025-01-27 14:12:36,0.0
-10368,-2136,-3620,-4019,-334,4889,2025-01-27 14:12:36,0.0
-8552,-3024,-1560,-3112,-2618,4264,2025-01-27 14:12:36,0.0
-7256,-3340,-792,-1722,-4001,2866,2025-01-27 14:12:36,0.0
-7296,-3056,-1784,-697,-2719,1967,2025-01-27 14:12:36,0.0
-8924,-3048,-4488,71,868,2166,2025-01-27 14:12:36,0.0
-10516,-2964,-5180,134,3240,2930,2025-01-27 14:12:36,0.0
-10968,-2444,-4204,121,3439,2838,2025-01-27 14:12:36,0.0
-11416,-2028,-1508,292,2337,1859,2025-01-27 14:12:36,0.0
-12388,-1772,-412,507,327,927,2025-01-27 14:12:37,0.0
-12784,-1332,-1448,443,-2035,990,2025-01-27 14:12:37,0.0
-12608,-1852,-3140,227,-2447,1172,2025-01-27 14:12:37,0.0
-12160,-1772,-6348,476,-2013,663,2025-01-27 14:12:37,0.0
-14540,-1412,-9856,844,-412,-819,2025-01-27 14:12:37,0.0
