acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
18116,-1644,1504,-436,-2024,-1159,2025-01-27 12:42:30,0.0
17492,-1184,1252,-799,-1644,-1007,2025-01-27 12:42:30,0.0
17344,-1264,1148,-1132,-580,-896,2025-01-27 12:42:30,0.0
17028,-1132,1340,-1348,329,-686,2025-01-27 12:42:30,0.0
17308,-1244,1484,-1545,238,-309,2025-01-27 12:42:30,0.0
17916,-1648,1708,-1518,324,-204,2025-01-27 12:42:31,0.0
18368,-1800,1560,-1347,912,-228,2025-01-27 12:42:31,0.0
18716,-1936,1316,-1177,1510,-347,2025-01-27 12:42:31,0.0
18940,-1896,1448,-885,1891,-552,2025-01-27 12:42:31,0.0
19132,-1956,1256,-601,1970,-664,2025-01-27 12:42:31,0.0
19440,-1888,1024,-343,1835,-750,2025-01-27 12:42:31,0.0
19600,-2000,744,-55,1893,-783,2025-01-27 12:42:31,0.0
19440,-2260,680,268,1608,-719,2025-01-27 12:42:31,0.0
19328,-2360,56,607,1208,-653,2025-01-27 12:42:31,0.0
19104,-2520,-332,896,867,-527,2025-01-27 12:42:31,0.0
18868,-2760,-1040,1087,750,-370,2025-01-27 12:42:31,0.0
18536,-2904,-1280,1129,729,-260,2025-01-27 12:42:31,0.0
18576,-2968,-1852,1039,563,-222,2025-01-27 12:42:31,0.0
18664,-3064,-1960,847,609,-266,2025-01-27 12:42:31,0.0
18752,-3308,-1996,797,744,-329,2025-01-27 12:42:31,0.0
18792,-3384,-2040,595,614,-334,2025-01-27 12:42:31,0.0
19068,-3288,-2128,243,459,-418,2025-01-27 12:42:31,0.0
19372,-3264,-1856,-98,724,-673,2025-01-27 12:42:31,0.0
19372,-3052,-1324,-343,942,-826,2025-01-27 12:42:31,0.0
19280,-2504,-464,-553,570,-918,2025-01-27 12:42:31,0.0
19512,-2260,220,-792,-215,-981,2025-01-27 12:42:31,0.0
19408,-2136,620,-953,-752,-1175,2025-01-27 12:42:31,0.0
19204,-2072,1200,-1093,-1001,-1306,2025-01-27 12:42:31,0.0
19096,-1620,1348,-945,-836,-1622,2025-01-27 12:42:31,0.0
18580,-1404,1904,-766,-810,-1967,2025-01-27 12:42:31,0.0
18204,-1292,2136,-476,-1047,-2120,2025-01-27 12:42:31,0.0
18204,-924,1704,-137,-1089,-2057,2025-01-27 12:42:31,0.0
17872,-688,1328,194,-1172,-1986,2025-01-27 12:42:31,0.0
17396,-764,1292,601,-1516,-1731,2025-01-27 12:42:31,0.0
17932,-1140,1072,1235,-885,-1483,2025-01-27 12:42:31,0.0
18160,-1160,580,2084,577,-1123,2025-01-27 12:42:31,0.0
18164,-1136,-120,2624,1415,-910,2025-01-27 12:42:31,0.0
18200,-1024,-464,2796,1583,-711,2025-01-27 12:42:31,0.0
18552,-1136,-500,2878,1724,-453,2025-01-27 12:42:31,0.0
18684,-1352,-608,2725,1493,-188,2025-01-27 12:42:31,0.0
18780,-1512,-900,2102,778,185,2025-01-27 12:42:31,0.0
19244,-1596,-1200,1595,793,155,2025-01-27 12:42:31,0.0
18776,-1576,-1412,803,634,154,2025-01-27 12:42:31,0.0
18588,-1416,-1528,-28,555,-71,2025-01-27 12:42:31,0.0
18460,-1304,-1156,-783,655,-284,2025-01-27 12:42:31,0.0
18172,-948,-1292,-1422,996,-286,2025-01-27 12:42:31,0.0
18088,-892,-1032,-2175,1500,-329,2025-01-27 12:42:31,0.0
18020,-888,-928,-2643,1509,-282,2025-01-27 12:42:31,0.0
18076,-1040,-804,-2876,1390,-265,2025-01-27 12:42:31,0.0
18072,-1100,-460,-2927,1153,-173,2025-01-27 12:42:31,0.0
18264,-1092,-368,-2880,925,-68,2025-01-27 12:42:31,0.0
18156,-1224,-96,-2764,489,74,2025-01-27 12:42:31,0.0
18116,-1356,-128,-2484,70,329,2025-01-27 12:42:31,0.0
18064,-1412,-60,-2087,65,551,2025-01-27 12:42:31,0.0
17992,-1568,-560,-1644,305,973,2025-01-27 12:42:31,0.0
17976,-1520,-1000,-1429,517,1273,2025-01-27 12:42:31,0.0
18052,-1544,-1368,-1313,427,1437,2025-01-27 12:42:31,0.0
18304,-1420,-1760,-1300,345,1436,2025-01-27 12:42:31,0.0
18616,-1460,-1948,-1530,115,1443,2025-01-27 12:42:31,0.0
18464,-1448,-1980,-1833,-21,1537,2025-01-27 12:42:31,0.0
18484,-1556,-2072,-2160,172,1698,2025-01-27 12:42:31,0.0
18464,-1592,-1808,-2339,564,1695,2025-01-27 12:42:31,0.0
